bin,timestamp_index,bin_death_index,pageid,timestamp,views,views_adjusted,share
19,133,12,61526577,20200513,74003,68224,0.00003922
20,140,13,61526577,20200520,61055,58537,0.00003368
21,147,14,61526577,20200527,52087,52098,0.00003001
22,154,15,61526577,20200603,60010,59563,0.00003430
23,161,16,61526577,20200610,85416,86821,0.00004978
24,168,17,61526577,20200617,66106,68060,0.00003918
25,175,18,61526577,20200624,132881,139436,0.00008038
26,182,19,61526577,20200701,518767,535110,0.00030867
27,189,20,61526577,20200708,316112,327121,0.00018689
28,196,21,61526577,20200715,237267,242180,0.00013954
29,203,22,61526577,20200722,143990,148495,0.00008519
30,210,23,61526577,20200729,122157,130284,0.00007497
31,217,24,61526577,20200805,113598,120589,0.00006948
32,224,25,61526577,20200812,119386,123311,0.00007091
33,231,26,61526577,20200819,103982,106776,0.00006137
34,238,27,61526577,20200826,123630,125988,0.00007305
35,245,28,61526577,20200902,111215,116938,0.00006739
36,252,29,61526577,20200909,108208,112142,0.00006455
37,259,30,61526577,20200916,111643,115856,0.00006664
38,266,31,61526577,20200923,113053,116632,0.00006711
39,273,32,61526577,20200930,104522,108325,0.00006228
40,280,33,61526577,20201007,111669,109415,0.00006292
41,287,34,61526577,20201014,114384,112047,0.00006447
42,294,35,61526577,20201021,106092,103389,0.00005949
43,301,36,61526577,20201028,141530,137941,0.00007940
44,308,37,61526577,20201104,129092,115964,0.00006666
45,315,38,61526577,20201111,119421,111984,0.00006435
46,322,39,61526577,20201118,98161,92649,0.00005331
47,329,40,61526577,20201125,109288,105072,0.00006047
48,336,41,61526577,20201202,103351,101729,0.00005851
49,343,42,61526577,20201209,113027,111981,0.00006440
50,350,43,61526577,20201216,101956,105445,0.00006067
51,357,44,61526577,20201223,112137,113226,0.00006489
52,364,45,61526577,20201230,141952,134377,0.00007740
53,371,46,61526577,20210106,101859,95271,0.00005479
54,378,47,61526577,20210113,104977,99299,0.00005711
55,385,48,61526577,20210120,117773,109266,0.00006293
56,392,49,61526577,20210127,95145,91022,0.00005235
57,399,50,61526577,20210203,91564,87564,0.00005037
58,406,51,61526577,20210210,84827,82112,0.00004719
59,413,52,61526577,20210217,210508,200968,0.00011506
60,420,53,61526577,20210224,127321,118538,0.00006806
61,427,54,61526577,20210303,131204,123867,0.00007119
62,434,55,61526577,20210310,149464,139921,0.00008128
63,441,56,61526577,20210317,99385,95867,0.00005518
64,448,57,61526577,20210324,107505,103842,0.00005976
65,455,58,61526577,20210331,103825,101213,0.00005853
66,462,59,61526577,20210407,93943,89537,0.00005165
67,469,60,61526577,20210414,74949,73356,0.00004221
68,476,61,61526577,20210421,73764,72025,0.00004140
69,483,62,61526577,20210428,73209,72332,0.00004158
70,490,63,61526577,20210505,150116,148138,0.00008561
71,497,64,61526577,20210512,70401,69342,0.00003984
72,504,65,61526577,20210519,145871,140094,0.00008257
73,511,66,61526577,20210526,72654,72393,0.00004168
74,518,67,61526577,20210602,62869,64204,0.00003696
75,525,68,61526577,20210609,55604,58407,0.00003359
76,532,69,61526577,20210616,52207,55816,0.00003211
77,539,70,61526577,20210623,65634,70379,0.00004050
78,546,71,61526577,20210630,61962,62487,0.00003597
79,553,72,61526577,20210707,64646,65399,0.00003756
80,560,73,61526577,20210714,248015,262128,0.00015005
81,567,74,61526577,20210721,155428,158528,0.00009056
82,574,75,61526577,20210728,91490,92764,0.00005339
83,581,76,61526577,20210804,75178,76166,0.00004382
84,588,77,61526577,20210811,59633,62034,0.00003568
85,595,78,61526577,20210818,61991,63859,0.00003676
86,602,79,61526577,20210825,77011,79097,0.00004595
87,609,80,61526577,20210901,63454,66773,0.00003835
88,616,81,61526577,20210908,99251,101599,0.00005945
89,623,82,61526577,20210915,56849,60195,0.00003459
90,630,83,61526577,20210922,42808,45568,0.00002622
91,637,84,61526577,20210929,43758,46971,0.00002704
92,644,85,61526577,20211006,42129,45269,0.00002604
93,651,86,61526577,20211013,44498,47864,0.00002751
94,658,87,61526577,20211020,42100,45144,0.00002599
95,665,88,61526577,20211027,40659,43409,0.00002500
96,672,89,61526577,20211103,42707,46931,0.00002701
97,679,90,61526577,20211110,50303,55167,0.00003186
98,686,91,61526577,20211117,53504,59596,0.00003429
99,693,92,61526577,20211124,44498,49533,0.00002853
100,700,93,61526577,20211201,44152,49789,0.00002860
101,707,94,61526577,20211208,41825,46569,0.00002679
102,714,95,61526577,20211215,39270,45613,0.00002626
103,721,96,61526577,20211222,40062,45137,0.00002594
0,2,-11,265030,20200103,15885,14523,0.00000836
1,9,-10,265030,20200110,16208,15029,0.00000867
2,16,-9,265030,20200117,15815,14751,0.00000850
3,23,-8,265030,20200124,20724,19226,0.00001107
4,30,-7,265030,20200131,14805,14207,0.00000814
5,37,-6,265030,20200207,15960,14779,0.00000854
6,44,-5,265030,20200214,17991,16909,0.00000973
7,51,-4,265030,20200221,16427,15763,0.00000907
8,58,-3,265030,20200228,17262,16727,0.00000963
9,65,-2,265030,20200306,28968,28489,0.00001654
10,72,-1,265030,20200313,21332,21913,0.00001267
11,79,0,265030,20200320,2387682,2194420,0.00126453
12,86,1,265030,20200327,203136,170031,0.00009776
13,93,2,265030,20200403,200847,159248,0.00009181
14,100,3,265030,20200410,270516,215045,0.00012287
15,107,4,265030,20200417,107609,86270,0.00004987
16,114,5,265030,20200424,51257,41054,0.00002374
17,121,6,265030,20200501,40075,35109,0.00002027
18,128,7,265030,20200508,39141,35265,0.00002034
19,135,8,265030,20200515,34194,31836,0.00001840
20,142,9,265030,20200522,31616,30438,0.00001754
21,149,10,265030,20200529,27027,27142,0.00001565
22,156,11,265030,20200605,25073,24798,0.00001430
23,163,12,265030,20200612,24203,24615,0.00001419
24,170,13,265030,20200619,22878,23851,0.00001375
25,177,14,265030,20200626,40147,41158,0.00002432
26,184,15,265030,20200703,27709,28277,0.00001633
27,191,16,265030,20200710,24044,24644,0.00001422
28,198,17,265030,20200717,51196,52441,0.00003011
29,205,18,265030,20200724,23521,24256,0.00001398
30,212,19,265030,20200731,25712,27433,0.00001582
31,219,20,265030,20200807,30527,31978,0.00001848
32,226,21,265030,20200814,28528,29499,0.00001700
33,233,22,265030,20200821,35020,35905,0.00002065
34,240,23,265030,20200828,30708,31548,0.00001825
35,247,24,265030,20200904,29390,30748,0.00001772
36,254,25,265030,20200911,33487,34868,0.00002003
37,261,26,265030,20200918,27355,28201,0.00001623
38,268,27,265030,20200925,26648,27623,0.00001591
39,275,28,265030,20201002,26727,27143,0.00001559
40,282,29,265030,20201009,31557,31007,0.00001784
41,289,30,265030,20201016,31975,31095,0.00001798
42,296,31,265030,20201023,29600,28734,0.00001654
43,303,32,265030,20201030,26187,25202,0.00001436
44,310,33,265030,20201106,60266,55379,0.00003146
45,317,34,265030,20201113,38707,36488,0.00002091
46,324,35,265030,20201120,38217,36222,0.00002094
47,331,36,265030,20201127,36331,35005,0.00002019
48,338,37,265030,20201204,34214,33699,0.00001946
49,345,38,265030,20201211,33685,33397,0.00001930
50,352,39,265030,20201218,36349,38289,0.00002199
51,359,40,265030,20201225,54752,54408,0.00003110
52,366,41,265030,20210101,50401,47145,0.00002709
53,373,42,265030,20210108,23720,22009,0.00001269
54,380,43,265030,20210115,27850,26173,0.00001505
55,387,44,265030,20210122,30043,28194,0.00001632
56,394,45,265030,20210129,26786,25644,0.00001476
57,401,46,265030,20210205,26458,25349,0.00001458
58,408,47,265030,20210212,24272,23276,0.00001342
59,415,48,265030,20210219,26758,25176,0.00001450
60,422,49,265030,20210226,31485,29304,0.00001691
61,429,50,265030,20210305,26870,25311,0.00001459
62,436,51,265030,20210312,93672,86047,0.00005109
63,443,52,265030,20210319,37348,35907,0.00002068
64,450,53,265030,20210326,25556,25024,0.00001444
65,457,54,265030,20210402,25894,25143,0.00001447
66,464,55,265030,20210409,27812,26739,0.00001536
67,471,56,265030,20210416,25412,24781,0.00001430
68,478,57,265030,20210423,23732,23170,0.00001334
69,485,58,265030,20210430,22805,22467,0.00001294
70,492,59,265030,20210507,23682,23456,0.00001352
71,499,60,265030,20210514,51379,49212,0.00002901
72,506,61,265030,20210521,32979,32420,0.00001873
73,513,62,265030,20210528,28386,28321,0.00001631
